koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,1.0000,0,0,0,2.95750,6.1580e+02,2.26,793.0,93.59,35.80,5455.00,4.467,0.9270,15.347
CONFIRMED,0.9690,0,0,0,4.50700,8.7480e+02,2.83,443.0,9.11,25.80,5455.00,4.467,0.9270,15.347
CANDIDATE,0.0000,0,0,0,1.78220,1.0829e+04,14.60,638.0,39.30,76.30,5853.00,4.544,0.8680,15.436
FALSE POSITIVE,0.0000,0,1,0,2.40641,8.0792e+03,33.46,1395.0,891.96,505.60,5805.00,4.564,0.7910,15.597
CONFIRMED,1.0000,0,0,0,1.65450,6.0330e+02,2.75,1406.0,926.16,40.90,6031.00,4.438,1.0460,15.509
CONFIRMED,1.0000,0,0,0,4.59450,1.5175e+03,3.90,835.0,114.81,66.50,6046.00,4.486,0.9720,15.714
CONFIRMED,1.0000,0,0,0,3.14020,6.8600e+02,2.77,1160.0,427.65,40.20,6046.00,4.486,0.9720,15.714
CONFIRMED,0.9920,0,0,0,2.42900,2.2650e+02,1.59,1360.0,807.74,15.00,6046.00,4.486,0.9720,15.714
FALSE POSITIVE,0.0000,0,1,1,5.02200,2.3370e+02,39.21,1342.0,767.22,47.70,6227.00,3.986,1.9580,12.660
CONFIRMED,1.0000,0,0,0,3.53470,4.9143e+03,5.76,600.0,30.75,161.90,5031.00,4.485,0.8480,15.841
CONFIRMED,0.8110,0,0,0,1.74319,1.4231e+04,13.04,1339.0,761.46,4304.30,5820.00,4.457,0.9640,11.338
CONFIRMED,1.0000,0,1,0,3.88864,6.6747e+03,16.10,2048.0,4148.92,5945.90,6440.00,4.019,1.9520,10.463
CONFIRMED,0.9980,0,0,0,3.19843,9.1457e+03,14.59,1521.0,1264.67,1741.50,6225.00,4.169,1.4510,13.563
CONFIRMED,1.0000,0,0,0,2.63020,1.3110e+02,1.16,1206.0,500.46,50.60,5833.00,4.407,1.0220,12.772
FALSE POSITIVE,0.0000,0,1,0,3.63990,1.7984e+04,150.51,753.0,75.88,622.10,5795.00,4.554,0.8480,15.472
FALSE POSITIVE,0.0000,0,1,0,12.21550,8.9187e+03,7.18,523.0,17.69,214.70,5043.00,4.591,0.6800,15.487
FALSE POSITIVE,0.0000,0,1,0,4.79843,7.4284e+04,49.29,698.0,55.97,2317.00,6117.00,4.496,0.9470,15.341
FALSE POSITIVE,0.0000,0,1,0,9.43780,1.0479e+04,7.94,595.0,29.61,303.40,5152.00,4.517,0.7860,15.788
CONFIRMED,1.0000,0,0,0,3.28750,1.2883e+03,2.47,649.0,41.85,87.20,4856.00,4.583,0.6960,15.302
CONFIRMED,1.0000,0,0,0,1.58210,1.9127e+03,2.85,678.0,50.04,65.40,4537.00,4.648,0.6720,15.784
FALSE POSITIVE,0.0000,0,1,1,3.61290,3.9790e+02,1.58,1066.0,305.34,48.20,4989.00,4.504,0.8190,15.269
CONFIRMED,1.0000,0,0,0,3.02780,8.3100e+02,2.55,919.0,168.99,60.60,5185.00,4.440,0.9100,15.416
CONFIRMED,0.9800,0,0,0,2.59840,3.6330e+02,1.70,1018.0,253.15,28.90,5185.00,4.440,0.9100,15.416
CONFIRMED,0.9710,0,0,0,3.59600,2.1740e+02,1.30,800.0,97.03,14.10,5185.00,4.440,0.9100,15.416
FALSE POSITIVE,,0,1,0,6.80570,2.4927e+04,41.50,297.0,1.84,994.00,5543.00,4.081,1.5800,12.394
CONFIRMED,1.0000,0,0,0,3.45550,8.5720e+02,2.95,530.0,18.64,34.30,4954.00,4.500,0.8280,15.377
CONFIRMED,1.0000,0,0,0,2.17170,9.3470e+02,2.78,917.0,166.95,28.20,5339.00,4.552,0.8470,15.861
CONFIRMED,1.0000,0,0,0,2.87500,7.5080e+02,2.30,1012.0,247.87,61.80,5644.00,4.564,0.8310,15.356
FALSE POSITIVE,0.0000,0,0,1,1.51550,2.2117e+03,4.53,1452.0,1054.12,181.10,5714.00,4.563,0.8310,15.525
FALSE POSITIVE,0.0000,0,1,1,53.41200,1.8091e+04,14.14,196.0,0.35,642.70,5520.00,4.466,0.9830,15.207
FALSE POSITIVE,0.0000,0,1,0,7.63300,5.1233e+03,39.87,505.0,15.43,85.30,6144.00,4.402,1.0910,15.250
CONFIRMED,1.0000,0,0,0,5.58800,7.2420e+02,2.82,529.0,18.53,34.70,5481.00,4.369,1.0360,15.172
CONFIRMED,0.9920,0,0,0,4.62970,2.2139e+03,3.86,439.0,8.76,51.20,5031.00,4.485,0.8480,15.841
CONFIRMED,1.0000,0,0,0,2.58190,1.0369e+03,2.65,823.0,108.30,47.10,5031.00,4.485,0.8480,15.841
CONFIRMED,1.0000,0,0,0,3.25540,1.1219e+03,3.10,593.0,29.31,33.20,5015.00,4.499,0.8260,15.390
CONFIRMED,1.0000,0,0,0,4.79710,1.8048e+03,3.36,506.0,15.55,80.00,5586.00,4.560,0.7980,15.082
CONFIRMED,0.9780,0,0,0,6.47300,6.5200e+02,2.12,359.0,3.92,19.10,5586.00,4.560,0.7980,15.082
CONFIRMED,1.0000,0,0,0,2.22739,9.8020e+03,12.21,1103.0,349.40,696.50,5712.00,4.359,1.0820,15.263
FALSE POSITIVE,0.0000,0,1,1,3.38270,8.6040e+02,6.54,1222.0,527.81,48.30,5550.00,4.468,0.9100,15.540
CONFIRMED,1.0000,0,0,0,3.73620,4.6000e+02,2.10,1133.0,389.62,29.50,6075.00,4.486,0.9690,15.395
FALSE POSITIVE,0.0000,0,1,0,5.25140,1.1766e+04,12.42,730.0,67.03,513.40,6074.00,4.391,1.0630,15.536
CONFIRMED,1.0000,0,0,0,2.94720,6.0160e+02,2.94,1093.0,337.68,166.70,5779.00,4.339,1.0870,12.791
CONFIRMED,0.9980,0,0,0,10.59890,2.7931e+03,5.50,516.0,16.72,141.10,5468.00,4.367,1.0460,15.400
CONFIRMED,1.0000,0,0,0,2.25140,1.0416e+03,2.52,790.0,91.90,43.40,5592.00,4.582,0.7870,15.317
CONFIRMED,1.0000,0,0,0,3.17440,1.4873e+03,4.43,1243.0,565.35,128.60,6174.00,4.417,1.1030,15.506
CONFIRMED,1.0000,0,0,0,2.50587,1.6814e+04,12.21,1219.0,521.13,1406.80,5532.00,4.452,0.9550,15.052
FALSE POSITIVE,0.0000,0,1,1,14.56100,8.5037e+03,7.34,430.0,8.11,236.10,5040.00,4.628,0.7050,15.716
CONFIRMED,1.0000,0,0,0,2.65570,4.2670e+02,1.89,1147.0,408.99,35.60,5880.00,4.518,0.9170,15.242
CONFIRMED,1.0000,0,0,0,3.15000,1.0109e+03,3.25,1104.0,351.23,71.10,5714.00,4.428,1.0150,15.367
CONFIRMED,1.0000,0,0,0,2.62550,1.0235e+03,3.95,806.0,99.68,37.90,5714.00,4.428,1.0150,15.367
CONFIRMED,1.0000,0,0,0,3.57300,1.5109e+03,3.07,489.0,13.49,48.20,5129.00,4.595,0.7630,15.234
CONFIRMED,1.0000,0,0,0,3.35390,5.1170e+02,2.64,785.0,89.61,88.40,5854.00,4.406,1.0120,12.882
CONFIRMED,1.0000,0,0,0,3.00140,1.9240e+02,1.79,997.0,233.31,47.10,5779.00,4.339,1.0870,12.791
FALSE POSITIVE,0.0140,0,1,0,2.30780,2.4446e+04,15.03,967.0,206.78,835.60,6108.00,4.469,0.9560,15.270
CONFIRMED,1.0000,0,0,0,3.02490,1.1271e+03,2.00,433.0,8.35,28.90,4126.00,4.661,0.6150,15.095
CONFIRMED,1.0000,0,0,0,2.08050,1.3061e+03,2.16,553.0,22.18,38.70,4126.00,4.661,0.6150,15.095
CONFIRMED,1.0000,0,0,0,4.00700,1.1223e+03,1.99,332.0,2.88,21.70,4126.00,4.661,0.6150,15.095
CONFIRMED,1.0000,0,0,0,2.68300,5.2265e+03,6.02,1023.0,258.34,345.20,5497.00,4.577,0.8090,15.523
